city,country,lat,lon
Tokyo,Japan,35.6895,139.6917
Delhi,India,28.7041,77.1025
Shanghai,China,31.2304,121.4737
Sao Paulo,Brazil,-23.5505,-46.6333
Mumbai,India,19.0760,72.8777
Mexico City,Mexico,19.4326,-99.1332
Beijing,China,39.9042,116.4074
Cairo,Egypt,30.0444,31.2357
Osaka,Japan,34.6937,135.5023
Dhaka,Bangladesh,23.8103,90.4125
